createtime,exittime,file output,handles,imagefilename,offset(v),pid,ppid,sessionid,threads,wow64,__children
2026-02-17T23:49:52+00:00,2026-02-18T03:46:28+00:00,Disabled,,WerFault.exe,180880305283584,664,524,0.0,0,False,[]
2026-02-18T03:45:58+00:00,,Disabled,,OfficeClickToR,180880389144704,2628,656,0.0,19,False,[]
2026-02-18T03:48:05+00:00,,Disabled,,SgrmBroker.exe,180880401555584,5008,656,0.0,6,False,[]
2026-03-11T11:48:11+00:00,,Disabled,,powershell.exe,180880446103744,7888,6016,1.0,16,False,[]
2026-03-11T11:50:00+00:00,,Disabled,,SystemSettings,180880447578240,6564,800,1.0,1,False,[]
2026-03-11T11:50:18+00:00,,Disabled,,ApplicationFra,180880447750272,6148,800,1.0,6,False,[]
2026-03-11T12:18:39+00:00,,Disabled,,CalculatorApp.,180880449540224,9912,5336,1.0,15,False,[]
2026-03-11T13:18:21+00:00,2026-03-11T13:18:43+00:00,Disabled,,powershell.exe,180880447111296,9608,7888,1.0,0,False,[]
2026-03-11T13:18:21+00:00,,Disabled,,notepad.exe,180880447524992,9780,9608,1.0,2,False,[]
2026-03-11T13:24:48+00:00,2026-03-11T13:24:55+00:00,Disabled,,powershell.exe,180880447623296,9864,7888,1.0,0,False,[]
2026-03-11T13:24:49+00:00,,Disabled,,notepad.exe,180880439349376,7684,9864,1.0,3,False,[]
2026-03-11T13:28:34+00:00,,Disabled,,PhoneExperienc,180880562520896,1736,800,1.0,18,False,[]
2026-03-11T13:29:21+00:00,2026-03-11T13:31:25+00:00,Disabled,,powershell.exe,180880542560384,4200,7888,1.0,0,False,[]
2026-03-11T13:32:02+00:00,2026-03-11T13:32:02+00:00,Disabled,,SOAPHound.exe,180880311414912,6276,9816,1.0,0,True,[]
2026-03-11T13:32:03+00:00,2026-03-11T13:32:03+00:00,Disabled,,SOAPHound.exe,180880436932736,3288,9508,1.0,0,True,[]
2026-03-11T13:32:54+00:00,,Disabled,,SystemSettings,180880475967680,9744,800,1.0,21,False,[]
